n_gram,freq
large,18368
short,18341
mr,18332
death,18320
fans,18294
building,18236
couldn't,18197
cause,18179
hour,18170
wants,18123
taken,18106
starting,18049
officials,17942
states,17878
glad,17853
welcome,17850
town,17742
lead,17737
north,17675
pick,17672
available,17654
spring,17634
learn,17552
march,17514
although,17460
wednesday,17433
won,17377
visit,17375
store,17356
fire,17351
federal,17292
within,17285
players,17258
online,17251
walk,17243
possible,17222
yourself,17221
gone,17212
report,17199
write,17154
break,17145
added,17119
shot,17116
near,17083
district,17082
crazy,17046
happen,17020
director,17017
tried,17001
dinner,16976
understand,16965
single,16910
obama,16774
inside,16763
works,16732
lives,16725
department,16723
tv,16707
west,16690
bed,16669
hair,16581
card,16570
process,16553
known,16509
tax,16469
sense,16463
son,16458
we'll,16446
seeing,16416
eyes,16384
drive,16367
loved,16334
boy,16322
turned,16279
paper,16248
field,16178
rock,16176
major,16168
sounds,16166
issue,16158
spent,16145
interesting,16116
space,16107
wow,16102
takes,16048
funny,16015
church,16005
strong,15990
record,15985
happened,15919
site,15911
worth,15870
wonderful,15856
email,15842
looked,15807
we've,15773
b,15763
you'll,15726
christmas,15716
worked,15683
send,15666
definitely,15604
wouldn't,15594
waiting,15552
per,15513
general,15476
ya,15429
trip,15422
huge,15404
facebook,15344
yesterday,15277
giving,15215
shows,15203
n,15187
super,15155
picture,15140
age,15137
schools,15128
jobs,15124
wife,15124
plans,15086
questions,15076
nearly,15074
air,15072
wanna,15066
ohio,15030
lots,14997
level,14981
hold,14980
based,14959
ur,14951
club,14923
control,14885
recent,14871
ones,14867
himself,14862
political,14839
clear,14827
longer,14812
fan,14786
recently,14761
human,14701
likely,14650
conference,14648
create,14638
finished,14591
cost,14526
services,14514
education,14486
war,14458
energy,14441
continue,14425
began,14419
fine,14381
seem,14334
page,14328
personal,14320
act,14304
race,14257
washington,14238
challenge,14220
bar,14178
middle,14138
lunch,14119
issues,14093
weather,14080
blue,14058
brown,14050
damn,14038
dont,13983
sent,13893
ass,13888
goal,13886
ball,13853
door,13818
coffee,13814
sound,13809
perhaps,13792
held,13790
dog,13789
return,13785
wine,13779
father,13760
met,13752
chicago,13718
simply,13715
hell,13704
include,13700
ways,13700
fuck,13638
you've,13636
above,13631
o,13616
cover,13582
america,13565
jersey,13565
band,13556
earlier,13546
campaign,13514
player,13493
usually,13434
companies,13430
luck,13412
stand,13402
join,13396
okay,13387
decision,13384
aren't,13374
dead,13372
hands,13363
sign,13352
career,13334
forget,13319
website,13308
knows,13307
boys,13306
cleveland,13301
r,13284
themselves,13279
answer,13246
cold,13242
cannot,13230
vote,13206
wonder,13154
expected,13153
voice,13123
problems,13112
moving,13111
price,13097
east,13094
offer,13060
research,13052
round,13028
feet,12959
success,12952
david,12939
action,12923
beat,12902
brought,12902
simple,12895
c,12883
spend,12860
piece,12851
due,12844
sales,12836
became,12809
step,12797
june,12796
pass,12787
design,12781
la,12770
mark,12767
fight,12734
save,12705
current,12668
wrote,12667
alone,12635
whose,12629
oil,12626
attention,12615
seriously,12603
p,12576
budget,12573
united,12520
heat,12513
sad,12512
football,12477
whatever,12457
staff,12454
drink,12451
exactly,12394
received,12347
gotta,12344
billion,12331
missed,12331
jesus,12303
husband,12259
james,12189
training,12168
died,12159
entire,12153
events,12111
example,12090
louis,12068
stories,12067
star,12057
main,12036
dark,12031
low,12008
date,11985
teams,11968
omg,11953
key,11952
dream,11948
practice,11915
afternoon,11900
mine,11880
form,11876
busy,11869
sun,11853
provide,11846
fresh,11835
followers,11802
moved,11798
a_m,11796
choice,11796
cup,11773
california,11756
paid,11755
bought,11738
opportunity,11726
dr,11724
totally,11712
table,11708
student,11684
daughter,11680
league,11668
fast,11652
paul,11652
led,11639
ideas,11635
loss,11611
study,11604
focus,11591
congrats,11579
followed,11573
learned,11554
sports,11554
agree,11536
details,11522
dance,11471
medical,11468
council,11456
cute,11444
opening,11431
financial,11414
seven,11398
interest,11392
despite,11388
difficult,11361
view,11323
sitting,11310
press,11300
track,11300
beach,11296
completely,11296
michael,11294
style,11277
pictures,11262
learning,11261
lose,11259
hospital,11248
brother,11241
hi,11238
bowl,11234
tickets,11200
safe,11199
test,11194
note,11186
certain,11184
text,11174
quickly,11161
extra,11112
listen,11089
kid,11077
development,11051
role,11045
hall,11028
listening,11006
plus,10999
position,10990
deep,10972
message,10957
changes,10947
itself,10946
complete,10928
starts,10916
ha,10915
character,10913
member,10913
private,10905
serious,10901
changed,10895
evening,10891
ground,10886
involved,10873
tour,10872
rain,10855
finish,10851
chicken,10840
industry,10834
comment,10824
release,10818
wall,10815
international,10810
created,10796
tired,10794
judge,10786
restaurant,10784
chief,10772
security,10761
dad,10750
